Original_Image,Format,Quality_Level,Category,Encoding_Time_sec,VMAF,Compressed_Size_Bytes,Baseline_PNG_Bytes,Storage_Saved_%,Y_MSE,Y_PSNR,Y_SSIM_w7,Y_SSIM_w11,Y_SSIM_w21,Cb_MSE,Cb_PSNR,Cb_SSIM_w7,Cb_SSIM_w11,Cb_SSIM_w21,Cr_MSE,Cr_PSNR,Cr_SSIM_w7,Cr_SSIM_w11,Cr_SSIM_w21
DOC01,AVIF,1,Document,2.889597800007323,88.879763,135774.0,1200133.0,88.69,46.05003,31.498504280597945,0.9830976054569632,0.9907243201566986,0.9943420303007824,2.1424828,44.8216302737875,0.9941569691940784,0.9938003252616412,0.9938940734153936,0.48997992,51.22902064049569,0.9973880628530488,0.9965066178175462,0.9954097727920858
DOC01,HEIC,1,Document,3.051514800012228,85.114803,130165.0,1200133.0,89.15,66.61191,29.895284903046434,0.9787307230193047,0.9876290616307531,0.9922586852128016,2.760674,43.72065246912985,0.9935524297548012,0.9932331384241518,0.9930453872894932,0.48728326,51.252988481115096,0.9975350630534994,0.9965898917605752,0.9952980684099888
DOC01,JPEG,1,Document,0.1344710000121267,75.404332,402556.0,1200133.0,66.46,112.58677,27.61593021197172,0.9553116398855068,0.968858502920869,0.9793372320577072,11.1493225,37.65831877701327,0.9872679835752808,0.9853894569830952,0.9836440065128464,5.697846,40.57369641684118,0.997410176880176,0.9967426553964644,0.9957209342624118
DOC01,WEBP,1,Document,2.6622783000057098,89.466147,273928.0,1200133.0,77.18,23.773664,34.36984234433851,0.9860412568072692,0.9929283639104856,0.995510955150957,2.89952,43.50754276341591,0.9919641202985756,0.9913584749510944,0.9915942465438982,0.61581564,50.23629634158453,0.9974004963422484,0.9966351560192308,0.9957513756636392
DOC02,AVIF,1,Document,2.7223974999942584,89.494489,106003.0,947640.0,88.81,34.70235,32.72721463500512,0.98556625676746,0.991760327691054,0.995433117921047,1.292113,47.01779873166792,0.9941391492272252,0.992326856301631,0.9902718837027236,0.8492179,48.84061217148854,0.9962171062002396,0.9950486745285712,0.9935116979724736
DOC02,HEIC,1,Document,2.994153599996934,85.804559,104104.0,947640.0,89.01,49.166157,31.21414080044174,0.9813496386549454,0.9886447069263176,0.9934974659892128,1.4810952,46.42497404870882,0.9941745250382026,0.9922344032270688,0.9895317988552206,1.3070563,46.96786060475368,0.9956247615637034,0.9940862425300236,0.9919996607376054
DOC02,JPEG,1,Document,0.1247860000003129,78.752655,353675.0,947640.0,62.68,80.81745,29.05575205117856,0.9642677290633308,0.9749411925730622,0.9841020822676264,35.32611,32.64984527259632,0.990970111970536,0.9873153431389324,0.9820586194843464,25.798773,34.014813172128946,0.992498698658451,0.9893629134509688,0.9849546303999366
DOC02,WEBP,1,Document,2.6916421999922022,89.683462,221498.0,947640.0,76.63,20.385607,35.03756712586744,0.9871033068172425,0.9932456040108556,0.9960881081396684,1.3089511,46.96156931755394,0.994173208307428,0.9924804162950688,0.9906821794550768,0.97813475,48.22681670943494,0.995671327311846,0.9943693213449408,0.9927338835017124
DOC03,AVIF,1,Document,2.759270900001866,89.011437,122795.0,1107130.0,88.91,40.64488,32.04074520374367,0.9843453382596012,0.9914365764637372,0.9947078820357051,3.0362408,43.30744140816221,0.991559412105228,0.990938877342389,0.9910153903601708,0.7875248,49.16816120826291,0.9962174753390288,0.9949206633053423,0.9933017127978168
DOC03,HEIC,1,Document,3.0515322999999626,85.010826,115985.0,1107130.0,89.52,58.14629,30.485583438610004,0.9809482451818344,0.9887794450898508,0.9929585408736072,4.068235,42.036743265574856,0.9894215782372584,0.9891178451723348,0.9891485549263616,0.74210656,49.42614091199157,0.99635489728155,0.9949617303401176,0.9928954845567824
DOC03,JPEG,1,Document,0.1281952999997884,74.855039,377187.0,1107130.0,65.93,108.734924,27.76711290306933,0.958455973397776,0.9710830036065944,0.9807257571648236,18.20356,35.52924035774552,0.9814652654098872,0.9788808136733224,0.9764339026921858,9.814781,38.21199742168846,0.9958961737781024,0.9948096104988948,0.9930502020028512
DOC03,WEBP,1,Document,2.6541265999985626,89.568864,249214.0,1107130.0,77.49,22.234648,34.66050102969743,0.986459739461383,0.992960381632344,0.99539895781049,4.8931303,41.234935780125575,0.9870550199436766,0.9855933959683651,0.9857283909203328,0.9653417,48.28399308130764,0.9961017433772836,0.9947840614107571,0.993287286445961
DOC04,AVIF,1,Document,2.8123874999873806,88.306058,153854.0,1246504.0,87.66,51.445274,31.017348687046336,0.9811181545836352,0.989817691307608,0.9937791621015762,2.0755405,44.95949131911959,0.9937640623796724,0.993231541984332,0.993410987597252,0.45930782,51.509765046423226,0.9977304344122236,0.9969686748841766,0.995966446746096
DOC04,HEIC,1,Document,3.0628475999983493,84.368579,144967.0,1246504.0,88.37,76.10209,29.316837752105155,0.9763594531323432,0.98641530573657,0.9917452663319442,2.614292,43.95726294223255,0.9933917850982854,0.9929321417053438,0.9928295862222029,0.6599532,49.93567243111484,0.9978391843533492,0.9969721137988736,0.995730862270205
DOC04,JPEG,1,Document,0.1323358999943593,76.620818,433101.0,1246504.0,65.25,125.621994,27.140146802073943,0.949007924435375,0.9651399220961686,0.9773806509211496,10.284647,38.0089098458331,0.9883346897002346,0.9868744908405488,0.9859191517006408,4.7046876,41.405495626560935,0.9975254768292002,0.9968717381691492,0.9959636040037504
DOC04,WEBP,1,Document,2.643205400003353,89.476906,298302.0,1246504.0,76.07,27.02875,33.81254416956778,0.9835514186809226,0.991900917113387,0.9949756058693714,2.8163333,43.63396306658686,0.9921360203864358,0.991213386989012,0.9914061001282658,0.50384104,51.107868234722176,0.997461271301284,0.9966902654696972,0.9957690762076024
DOC05,AVIF,1,Document,1.9638970000087284,88.655146,139350.0,1297428.0,89.26,46.463062,31.4597252399199,0.9825364349857276,0.9901950289196738,0.9940360200902656,3.234289,43.03301546027196,0.9910180911691882,0.9905427997090156,0.9907453541071594,0.9413547,48.39327082594477,0.9959905637326214,0.9947081513688592,0.9932040775823238
DOC05,HEIC,1,Document,3.137037099993904,84.579261,134807.0,1297428.0,89.61,66.00032,29.93534309634125,0.9780681564131718,0.986674033923822,0.9917915169449132,5.3121424,40.87810661404606,0.9885356241263508,0.98752156741313,0.9867131093563328,0.82577205,48.96220186636505,0.9959115852254956,0.99429392721379,0.992038413171394
DOC05,JPEG,1,Document,0.1296117000019876,76.444611,407024.0,1297428.0,68.63,134.72289,26.83638977786481,0.9496769384581945,0.9642586405857332,0.9754503443445672,23.19675,34.47653206964594,0.978855839708022,0.9747463932058598,0.9704299548427552,11.727341,37.438808222437146,0.9956195962540376,0.99431722611619,0.9920462155473498
DOC05,WEBP,1,Document,3.4981895000091754,89.641339,280540.0,1297428.0,78.38,25.719067,34.02825174216035,0.9839917179158804,0.99191676382792,0.994932194943834,4.803083,41.31560274037487,0.986946751225765,0.9859477005460672,0.986325350067894,0.95900416,48.31259868838825,0.995735645057303,0.9942674779841404,0.9925433602964208
DOC06,AVIF,1,Document,1.9654692000040088,88.887628,124998.0,1034479.0,87.92,42.01031,31.897244463365336,0.9840892759377228,0.991160734763714,0.994534879924744,1.3154887,46.939932531320224,0.9958880243632277,0.9953971972650876,0.9951319080097066,0.6979081,49.69282104170459,0.997623149831138,0.996997692020446,0.996281993073562
DOC06,HEIC,1,Document,3.083568200003356,85.875357,118615.0,1034479.0,88.53,59.79474,30.364173707244696,0.980003376547216,0.9882713968403548,0.99257332111547,2.3595304,44.40254775111902,0.9945390869262962,0.9935797648251156,0.9927222218944516,0.67522293,49.83633192712679,0.997232423987822,0.99638880363883,0.9954515680809762
DOC06,JPEG,1,Document,0.1237832000042544,77.437536,381657.0,1034479.0,63.11,102.25988,28.033750855250148,0.9578988226537454,0.9700812268677472,0.979583678897082,13.707689,36.76116115975093,0.99067666432137,0.9884278892924586,0.9858687528862692,10.2089205,38.04100547773333,0.9960663796538572,0.994791819585126,0.992872691576172
DOC06,WEBP,1,Document,3.4873010000010254,89.646185,249888.0,1034479.0,75.84,22.579285,34.59370176932927,0.9869383310062932,0.9930381149778236,0.9954270958301,1.8722802,45.40709521462098,0.9939757731065731,0.9931568417797708,0.9928530658747544,0.8444635,48.86499449750778,0.996195916700112,0.9949686459001608,0.993690392361596
DOC07,AVIF,1,Document,3.090801199999987,87.490146,193206.0,1690748.0,88.57,68.71815,29.760089178936376,0.97577798830292,0.9867226030409788,0.9919097194404736,0.19687669,55.18886056325961,0.9995894366658892,0.9995463018461695,0.9994242953223816,0.57172143,50.558958920264686,0.9995771633201984,0.9995590025035102,0.9994698131126384
DOC07,HEIC,1,Document,3.0898025000060443,82.376139,189015.0,1690748.0,88.82,100.68084,28.101335354428397,0.9709596622186532,0.9828782101905758,0.9897498101812192,0.4337538,51.75837077176067,0.9990411484539812,0.9989326281020716,0.9986551094234464,0.901207,48.58255803755655,0.9992693043838164,0.9992699810445612,0.999188684604958
DOC07,JPEG,1,Document,0.1313287000084528,74.642048,476731.0,1690748.0,71.8,154.37587,26.245009299815223,0.9398291907172488,0.95802207667073,0.9731544649781066,1.0959606,47.7328541394924,0.9983579014941404,0.9978328722532211,0.9966673612976802,2.2686834,44.57306462072711,0.9981965449062944,0.9980766270457404,0.997841192939253
DOC07,WEBP,1,Document,2.715068799996516,88.631043,375464.0,1690748.0,77.79,35.116867,32.67564602742369,0.9813094541041358,0.990708123388394,0.9945769794358768,0.5587627,50.65852929951777,0.998589870210642,0.9982637885818731,0.9977617069731588,1.0659404,47.85347438932094,0.99900407295584,0.9989473486906224,0.9987632739112078
DOC08,AVIF,1,Document,2.9563188000029186,88.080369,164699.0,1434120.0,88.52,54.24602,30.787124778315597,0.9799968910250086,0.988638239048486,0.9929587959450508,2.7405186,43.75247620684426,0.9925667777131056,0.9921310724377757,0.9921813354703533,1.1332664,47.58748333226914,0.996702022285836,0.9955425199156313,0.9940217312914852
DOC08,HEIC,1,Document,3.0164441999950213,83.830703,158521.0,1434120.0,88.95,77.54119,29.235478914080044,0.975499857002044,0.9853056864890364,0.990806009507765,3.834432,42.29379332740432,0.9908899330412236,0.990438196486998,0.9902864255799956,1.1903324,47.37412102078285,0.9963145057659974,0.9949421074877166,0.9928567460110156
DOC08,JPEG,1,Document,0.1339181000075768,74.593335,428984.0,1434120.0,70.09,140.05463,26.667829149169343,0.947102167360652,0.9624518429174872,0.975180470781205,17.077337,35.806602122787936,0.9825133203805164,0.9802832188150484,0.977653578991228,9.911695,38.16932446847987,0.9952712385935524,0.99418045639027,0.9923543046024632
